subj,block,ttype,mag,amp,dur
c_P17,5,EASY,0.328244,58.763140,0.010000
c_P17,5,EASY,0.502211,100.494433,0.014000
c_P17,5,EASY,0.722747,163.772168,0.028000
c_P17,5,EASY,0.433041,79.625617,0.012000
c_P17,5,EASY,0.420402,79.278051,0.016000
c_P17,5,EASY,0.702477,145.855478,0.016000
c_P17,5,EASY,0.397464,61.720622,0.010000
c_P17,5,EASY,0.463970,68.500529,0.014000
c_P17,5,EASY,0.447367,89.365780,0.014000
c_P17,5,EASY,0.185396,29.208949,0.006000
c_P17,5,EASY,0.580362,100.487757,0.014000
c_P17,5,EASY,0.477000,70.937683,0.014000
c_P17,5,EASY,0.395104,62.067775,0.012000
c_P17,5,EASY,0.369942,63.449712,0.012000
c_P17,5,EASY,0.325122,59.983603,0.014000
c_P17,5,EASY,0.700941,127.604550,0.016000
c_P17,5,EASY,0.452520,78.757744,0.018000
c_P17,5,EASY,0.362212,72.495691,0.014000
c_P17,5,EASY,0.213495,31.120406,0.008000
c_P17,5,EASY,0.257981,51.806696,0.012000
c_P17,5,EASY,0.252774,32.686372,0.010000
c_P17,5,EASY,0.387221,55.632076,0.016000
c_P17,5,EASY,0.342683,55.805653,0.018000
c_P17,5,EASY,0.367021,58.930041,0.012000
c_P17,5,EASY,0.427370,74.765522,0.016000
c_P17,5,EASY,0.298227,51.466217,0.014000
c_P17,5,EASY,0.219661,29.385449,0.010000
c_P17,5,EASY,0.560920,110.227732,0.016000
c_P17,5,EASY,0.560113,115.781943,0.018000
c_P17,5,EASY,0.188130,29.902431,0.014000
c_P17,5,EASY,0.201673,35.292559,0.014000
c_P17,5,EASY,0.320329,53.021739,0.016000
c_P17,5,EASY,0.207602,33.901425,0.014000
c_P17,5,EASY,0.217543,37.032520,0.012000
c_P17,5,EASY,0.311208,59.979847,0.014000
c_P17,5,EASY,0.162119,21.559357,0.010000
c_P17,5,EASY,0.173100,32.337128,0.006000
c_P17,5,EASY,0.248026,40.159439,0.010000
c_P17,5,EASY,0.708218,111.616288,0.010000
c_P17,5,EASY,0.904522,154.727103,0.012000
c_P17,5,EASY,0.925721,184.625371,0.010000
c_P17,5,EASY,0.928276,175.934402,0.014000
c_P17,5,EASY,0.833954,152.297264,0.010000
c_P17,5,EASY,0.962683,168.985955,0.018000
c_P17,5,EASY,0.285958,61.895033,0.012000
c_P17,5,EASY,0.564673,136.126767,0.022000
c_P17,5,EASY,0.517762,124.651417,0.026000
c_P17,5,EASY,0.521718,93.187304,0.016000
c_P17,5,EASY,0.432368,104.660136,0.026000
c_P17,5,EASY,0.430611,65.195907,0.012000
c_P17,5,EASY,0.388148,98.057755,0.026000
c_P17,5,EASY,0.466920,115.608374,0.026000
c_P17,5,EASY,0.394500,78.931319,0.012000
c_P17,5,EASY,0.319827,64.844999,0.014000
c_P17,5,EASY,0.583996,120.656034,0.014000
c_P17,5,EASY,0.371135,74.585270,0.014000
c_P17,5,EASY,0.544021,79.800026,0.016000
c_P17,5,EASY,0.400036,89.188035,0.036000
c_P17,5,EASY,0.429850,87.456474,0.024000
c_P17,5,EASY,0.341065,74.418371,0.028000
c_P17,5,EASY,0.382567,66.060033,0.014000
c_P17,5,EASY,0.340341,65.719557,0.026000
c_P17,5,EASY,0.379459,63.284480,0.026000
c_P17,5,EASY,0.446333,83.624501,0.016000
c_P17,5,EASY,0.387786,66.240285,0.014000
c_P17,5,EASY,0.251178,46.245528,0.012000
c_P17,5,EASY,0.217336,36.858941,0.012000
c_P17,5,EASY,0.570603,106.052456,0.018000
c_P17,5,EASY,0.237714,30.080183,0.012000
c_P17,5,EASY,0.835756,171.415313,0.018000
c_P17,5,EASY,0.661680,133.352238,0.016000
c_P17,5,EASY,0.713267,135.081209,0.018000
c_P17,5,EASY,0.561420,115.101020,0.012000
c_P17,5,EASY,0.452875,79.105311,0.016000
c_P17,5,EASY,0.167499,21.737527,0.006000
c_P17,5,EASY,0.427104,69.544488,0.016000
c_P17,5,EASY,0.410051,76.668171,0.016000
c_P17,5,EASY,0.566351,113.358655,0.016000
c_P17,5,EASY,0.365356,74.752170,0.014000
c_P17,5,EASY,0.636437,115.781943,0.020000
c_P17,5,EASY,0.346062,62.408253,0.014000
c_P17,5,EASY,0.420392,85.366916,0.014000
c_P17,5,EASY,0.665597,120.655200,0.016000
c_P17,5,EASY,0.469885,90.580792,0.016000
c_P17,5,EASY,0.267245,48.849198,0.014000
c_P17,5,EASY,0.235562,40.330514,0.012000
c_P17,5,EASY,0.434540,66.767690,0.014000
c_P17,5,EASY,0.180035,26.426257,0.006000
c_P17,5,EASY,0.503573,80.840638,0.018000
c_P17,5,EASY,0.434003,72.849100,0.014000
c_P17,5,EASY,0.453082,88.838385,0.012000
c_P17,5,EASY,0.619000,95.787968,0.016000
c_P17,5,EASY,0.643938,115.788618,0.014000
c_P17,5,EASY,0.436241,87.796945,0.028000
c_P17,5,EASY,0.406198,83.284029,0.016000
c_P17,5,EASY,0.421606,87.449798,0.010000
c_P17,5,EASY,0.418027,76.841746,0.026000
c_P17,5,EASY,0.213105,39.636200,0.010000
c_P17,5,EASY,0.265990,45.898372,0.010000
c_P17,5,EASY,0.330334,55.118020,0.026000
c_P17,5,EASY,0.359206,74.578594,0.012000
c_P17,5,EASY,0.263503,45.897538,0.008000
c_P17,5,EASY,0.270446,46.765011,0.026000
c_P17,5,EASY,0.399561,73.189992,0.012000
c_P17,5,EASY,0.336060,56.506638,0.014000
c_P17,5,EASY,0.322570,61.545794,0.008000
c_P17,5,EASY,0.737081,176.808845,0.032000
c_P17,5,EASY,0.630894,155.768460,0.034000
c_P17,5,EASY,0.514821,106.569411,0.026000
c_P17,5,EASY,0.462934,92.663665,0.012000
c_P17,5,EASY,0.396937,97.703936,0.026000
c_P17,5,EASY,0.195340,26.944908,0.012000
c_P17,5,EASY,0.499910,132.651302,0.026000
c_P17,5,EASY,0.659409,132.130607,0.012000
c_P17,5,EASY,0.612447,126.569828,0.014000
c_P17,5,EASY,0.588777,109.873917,0.006000
c_P17,5,EASY,1.030126,191.233622,0.018000
c_P17,5,EASY,0.633360,114.560286,0.010000
c_P17,5,EASY,0.765818,178.544377,0.032000
c_P17,5,EASY,0.420654,101.522509,0.026000
c_P17,5,EASY,0.359774,72.495691,0.016000
c_P17,5,EASY,0.398737,72.150626,0.008000
c_P17,5,EASY,0.612684,139.434910,0.038000
c_P17,5,EASY,0.260061,50.424750,0.010000
c_P17,5,EASY,0.705564,139.774110,0.014000
c_P17,5,EASY,0.774909,169.499529,0.026000
c_P17,5,EASY,0.608927,146.729962,0.012000
c_P13,2,DIFF,0.460995,82.055658,0.006000
c_P13,2,DIFF,0.478826,73.540064,0.010000
c_P13,2,DIFF,0.490650,79.805868,0.008000
c_P13,2,DIFF,0.475776,66.233609,0.008000
c_P13,2,DIFF,0.428045,71.279410,0.008000
c_P13,2,DIFF,0.595324,102.397040,0.010000
c_P13,2,DIFF,0.511790,66.761014,0.010000
c_P13,2,DIFF,0.513898,83.798075,0.008000
c_P13,2,DIFF,0.422841,62.935658,0.014000
c_P13,2,DIFF,0.387111,50.771906,0.010000
c_P13,2,DIFF,0.517808,82.062334,0.008000
c_P13,2,DIFF,0.431224,62.417015,0.008000
c_P13,2,DIFF,0.391213,69.364653,0.008000
c_P13,2,DIFF,0.435595,64.851675,0.006000
c_P13,2,DIFF,0.680328,116.302648,0.012000
c_P13,2,DIFF,0.942669,176.288184,0.014000
c_P13,2,DIFF,0.564988,99.786795,0.010000
c_P13,2,DIFF,0.721010,142.210668,0.010000
c_P13,2,DIFF,0.663778,149.687180,0.008000
c_P13,2,DIFF,0.872385,168.291314,0.014000
c_P13,2,DIFF,0.865859,168.978445,0.006000
c_P13,2,DIFF,0.837012,150.548308,0.012000
c_P13,2,DIFF,0.423036,56.680215,0.008000
